文件相对路径,經文資訊
cbeta-text\A\A1057\A1057_001.txt,趙城金藏 第 91 冊 No. 1057 新譯大方廣佛華嚴經音義
cbeta-text\A\A1057\A1057_002.txt,趙城金藏 第 91 冊 No. 1057 新譯大方廣佛華嚴經音義
cbeta-text\A\A1267\A1267_003.txt,趙城金藏 第 97 冊 No. 1267 大唐開元釋教廣品歷章(第3卷-第4卷)
cbeta-text\A\A1267\A1267_004.txt,趙城金藏 第 97 冊 No. 1267 大唐開元釋教廣品歷章(第3卷-第4卷)
cbeta-text\A\A1267\A1267_005.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_006.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_007.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_008.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_009.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_010.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_012.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_013.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_014.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_015.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_016.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_017.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_018.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_019.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1267\A1267_020.txt,趙城金藏 第 98 冊 No. 1267 大唐開元釋教廣品歷章(第5卷-第20卷)
cbeta-text\A\A1490\A1490_001.txt,趙城金藏 第 110 冊 No. 1490 天聖釋教總錄
cbeta-text\A\A1490\A1490_002.txt,趙城金藏 第 110 冊 No. 1490 天聖釋教總錄
cbeta-text\A\A1493\A1493_003.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_004.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_005.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_006.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_007.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_008.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_010.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_011.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_012.txt,趙城金藏 第 111 冊 No. 1493 大中祥符法寶錄(第3卷-第12卷)
cbeta-text\A\A1493\A1493_013.txt,趙城金藏 第 112 冊 No. 1493 大中祥符法寶錄(第13卷-第20卷)
cbeta-text\A\A1493\A1493_014.txt,趙城金藏 第 112 冊 No. 1493 大中祥符法寶錄(第13卷-第20卷)
