排名,词语,出现次数
1,是,1648566
2,也,1399646
3,於,1215085
4,「,1107209
5,有,1059263
6,為,1042139
7,」,984763
8,之,973822
9,說,780206
10,故,751449
11,不,737357
12,而,714547
13,曰,646612
14,無,636507
15,等,625397
16,一切,623732
17,亦,576997
18,者,535438
19,我,528949
20,即,502587
21,與,491694
22,得,476621
23,若,470825
24,在,459371
25,中,422187
26,又,419301
27,所,411981
28,的,410739
29,復,405360
30,如是,403524
31,二,394084
32,一,372230
33,皆,371942
34,以,359181
35,謂,340953
36,此,337780
37,見,337022
38,後,327664
39,道,319502
40,人,314498
41,云,309233
42,三,308091
43,從,283984
44,上,279428
45,如,266416
46,或,252321
47,已,249306
48,比丘,238085
49,時,224130
50,他,219981
51,如來,217007
52,了,215898
53,佛,215735
54,至,214849
55,相,212807
56,眾生,211898
57,下,210216
58,．,207013
59,能,199324
60,言,198001
61,菩薩,193782
62,菩提,192521
63,不可,191916
64,其,191913
65,去,188935
66,世尊,187788
67,來,185235
68,及,178633
69,非,176357
70,捨,174591
71,『,171053
72,乃至,170928
73,法,170489
74,住,170451
75,』,166585
76,處,166446
77,欲,161350
78,多,160324
79,但,158922
80,四,157115
81,彼,154971
82,如何,153406
83,名,152446
84,清淨,152366
85,由,152069
86,涅槃,144738
87,心,143192
88,不能,141058
89,僧,140395
90,便,135226
91,前,133307
92,因,132533
93,初,131091
94,耶,130532
95,大,129867
96,般若,129385
97,問,127073
98,不得,126276
99,次,124749
100,起,124033
101,緣,121634
102,方便,121444
103,地,120970
104,善,120633
105,矣,120325
106,答,119463
107,所以,117736
108,向,117066
109,對,113298
110,那,112805
111,既,111488
112,自,110446
113,汝,110273
114,功德,109070
115,受,108965
116,師云,106554
117,偈,106499
118,盡,105721
119,〔,102095
120,〕,102094
121,云何,101598
122,師曰,101271
123,五,100992
124,事,100303
125,今,99461
126,長,98767
127,空,98382
128,諸,98364
129,成就,97560
130,因緣,97161
131,諸佛,96928
132,和,96825
133,無量,95864
134,世界,95620
135,更,94912
136,生死,91654
137,三昧,90743
138,佛法,90182
139,未,89869
140,就,88830
141,行,88209
142,生,87130
143,作,86570
144,第一,86226
145,第二,85420
146,知,85338
147,波羅蜜,85322
148,想,85218
149,乃,85099
150,真,84101
151,可,83694
152,依,83680
153,爾時,83549
154,且,82522
155,何以,82278
156,請,81309
157,正,80290
158,智,80210
159,羅,79679
160,不知,79407
161,分別,79197
162,所有,79056
163,○,78850
164,自性,78787
165,到,78559
166,大乘,77915
167,經,77863
168,和尚,77622
169,月,77564
170,出,77088
171,雖,76937
172,裏,76905
173,法界,76095
174,世間,75732
175,應,74071
176,名為,73513
177,阿,72752
178,入,72741
179,反,72734
180,離,71906
181,坐,71740
182,十方,71420
183,箇,71418
184,身,71370
185,諸法,71243
186,都,70814
187,煩惱,70620
188,不同,69555
189,引,69404
190,誰,69055
191,有情,68088
192,俱,66971
193,六,66880
194,解脫,66300
195,光明,66295
